87,87,O
115,115,O
139,139,O
270,270,O
426,426,O
504,504,O
936,936,O
1135,1135,O
1232,1232,O
1353,1353,O
1703,1703,O
1741,1741,O
1905,1905,O
1977,1977,O
2077,2077,O
2153,2153,O
2178,2178,O
2450,2450,O
2556,2556,O
2649,2649,O
2769,2769,O
2862,2862,O
2924,2924,O
2983,2983,O
3055,3055,O
3265,3265,O
3328,3328,O
3480,3480,O
3830,3830,O
4162,4162,O
4357,4357,O
4451,4451,O
4726,4726,O
4910,4910,O
4983,4983,O
5148,5148,O
5624,5624,O
5741,5741,O
5811,5811,O
5820,5820,O
5988,5988,O
6155,6155,O
6195,6195,O
6301,6301,O
6341,6341,O
6422,6422,O
6543,6543,O
6662,6662,O
6761,6761,O
6765,6765,O
6794,6794,O
6804,6804,O
6922,6922,O
7047,7047,O
7256,7256,O
7330,7330,O
7532,7532,O
7560,7560,O
7641,7641,O
7873,7873,O
7889,7889,O
7990,7990,O
8023,8023,O
8069,8069,O
8319,8319,O
8671,8671,O
8803,8803,O
8820,8820,O
8885,8885,O
8989,8989,O
9065,9065,O
9217,9217,O
9282,9282,O
9435,9435,O
9616,9616,O
9890,9890,O
10102,10102,O
10428,10428,O
10514,10514,O
10617,10617,O
10650,10650,O
10810,10810,O
10934,10934,O
11111,11111,O
11463,11463,O
11640,11640,O
11746,11746,O
11948,11948,O
12006,12006,O
12063,12063,O
12085,12085,O
12270,12270,O
12407,12407,O
12461,12461,O
12673,12673,O
12801,12801,O
12901,12901,O
12942,12942,O
13094,13094,O
13281,13281,O
13411,13411,O
13440,13440,O
13975,13975,O
14423,14423,O
14593,14593,O
14638,14638,O
14721,14721,O
14965,14965,O
15264,15264,O
15320,15320,O
15365,15365,O
15452,15452,O
15658,15658,O
15700,15700,O
16048,16048,O
16127,16127,O
16134,16134,O
16380,16380,O
16427,16427,O
16467,16467,O
16564,16564,O
16598,16598,O
16737,16737,O
16740,16740,O
16777,16777,O
16892,16892,O
16964,16964,O
17160,17160,O
17683,17683,O
17733,17733,O
17839,17839,O
18299,18299,O
18323,18323,O
18353,18353,O
18398,18398,O
18579,18579,O
18809,18809,O
19332,19332,O
19349,19349,O
19471,19471,O
19509,19509,O
19637,19637,O
19700,19700,O
20110,20110,O
20612,20612,O
20768,20768,O
20973,20973,O
21453,21453,O
21476,21476,O
21845,21845,O
21893,21893,O
21917,21917,O
22035,22035,O
22208,22208,O
22379,22379,O
22398,22398,O
22469,22469,O
22862,22862,O
22871,22871,O
23048,23048,O
23268,23268,O
23493,23493,O
23802,23802,O
23922,23922,O
23985,23985,O
24364,24364,O
24396,24396,O
24669,24669,O
24798,24798,O
25632,25632,O
25790,25790,O
25853,25853,O
25871,25871,O
26064,26064,O
26356,26356,O
26449,26449,O
26701,26701,O
26853,26853,O
26948,26948,O
27001,27001,O
27133,27133,O
27301,27301,O
27336,27336,O
27451,27451,O
27546,27546,O
27987,27987,O
28110,28110,O
28158,28158,O
28230,28230,O
28254,28254,O
28298,28298,O
28574,28574,O
28610,28610,O
28643,28643,O
29010,29010,O
29123,29123,O
29294,29294,O
29352,29352,O
29378,29378,O
29642,29642,O
29739,29739,O
29811,29811,O
29962,29962,O
30062,30062,O
30350,30350,O
30539,30539,O
30934,30934,O
30940,30940,O
31234,31234,O
31303,31303,O
31479,31479,O
31654,31654,O
31775,31775,O
31889,31889,O
32179,32179,O
32267,32267,O
32447,32447,O
32645,32645,O
32859,32859,O
33000,33000,O
33248,33248,O
33521,33521,O
33697,33697,O
33771,33771,O
33819,33819,O
33934,33934,O
34098,34098,O
34412,34412,O
34473,34473,O
34576,34576,O
34619,34619,O
34623,34623,O
35208,35208,O
35247,35247,O
35336,35336,O
35353,35353,O
35500,35500,O
36082,36082,O
36205,36205,O
36338,36338,O
36564,36564,O
36928,36928,O
37037,37037,O
37212,37212,O
37269,37269,O
37272,37272,O
37327,37327,O
37344,37344,O
37646,37646,O
37656,37656,O
37883,37883,O
38110,38110,O
38143,38143,O
38261,38261,O
38383,38383,O
38438,38438,O
38461,38461,O
38577,38577,O
38598,38598,O
38675,38675,O
38765,38765,O
39383,39383,O
39400,39400,O
39431,39431,O
39496,39496,O
39879,39879,O
39932,39932,O
40106,40106,O
40115,40115,O
40158,40158,O
40206,40206,O
40289,40289,O
40511,40511,O
40556,40556,O
40851,40851,O
40938,40938,O
41097,41097,O
41207,41207,O
41212,41212,O
41642,41642,O
42132,42132,O
42235,42235,O
43293,43293,O
43458,43458,O
43498,43498,O
43603,43603,O
43951,43951,O
44122,44122,O
44481,44481,O
44741,44741,O
45037,45037,O
45089,45089,O
45456,45456,O
45535,45535,O
45585,45585,O
45607,45607,O
45629,45629,O
45638,45638,O
45654,45654,O
45662,45662,O
45728,45728,O
45777,45777,O
46122,46122,O
46396,46396,O
